file_path,source,extension,size_mb,candidate_type,keyword_hits,read_status,columns_or_keys_preview,first_row_preview,priority_score
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/browse-analysis-results_05a218448b.dat,downloaded_or_extracted_support,.dat,0.2807,other_support_candidate,analysis,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/cohort_visit_tracker_table.csv,local_scan,.csv,0.2548,other_support_candidate,,read_ok,patient_folder;study_folder;StudyDate;n_series;n_dicom;has_mr;has_seg;visit_index,ISPY2-100899;1.3.6.1.4.1.14519.5.2.1.19140731108220017646017623;20021026;16;1870;1;1;0,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/analysis-results_cce2ef3104.dat,downloaded_or_extracted_support,.dat,0.2541,other_support_candidate,analysis,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/03_top_series_descriptions.png,local_scan,.png,0.2295,other_support_candidate,ser,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/07_candidate_series_descriptions.png,local_scan,.png,0.2282,other_support_candidate,ser,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/14_phase2_pipeline_diagram.png,local_scan,.png,0.1033,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/Challenge_competitions_590e737a09.dat,downloaded_or_extracted_support,.dat,0.0986,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/NIIiAQ_ec36ce497d.dat,downloaded_or_extracted_support,.dat,0.0883,other_support_candidate,nii,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/121_phase5b_model_performance_summary.png,local_scan,.png,0.0851,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/User_Guides_9d622b4515.dat,downloaded_or_extracted_support,.dat,0.0764,other_support_candidate,ser,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/52_phase3d_z_error_vs_volume.png,local_scan,.png,0.0677,other_support_candidate,volume,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/63_phase4a_unsupervised_pca.png,local_scan,.png,0.0592,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/212_phase7e_model_performance.png,local_scan,.png,0.0584,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/120_phase5b_pipeline_summary.png,local_scan,.png,0.0511,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/53_phase3d_records_per_patient.png,local_scan,.png,0.0482,other_support_candidate,pe,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/02_dicom_files_per_patient.png,local_scan,.png,0.0454,other_support_candidate,pe,not_opened,,,6
